[Header]
TITLE,CoS2 QA96 after toluene Puck 225 7-19-2026.dat
BYAPP,HeatCapacity,3.9.11,1.7
INFO,1000,MASS:Sample Mass (mg)
INFO,,MASSERR:Sample Mass Error (mg)
INFO,1,MOLWGHT:Formula Weight (g/mole)
INFO,1,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.11 Build 2,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (mJ/mole-K),Samp HC Err (mJ/mole-K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (mJ/mole-K/K),Addenda Offset HC (µJ/K)
4626387.03,,5905,,15.4998,0.08,9.2E-6,15.630887,0.32070492,0.27061625,0.0004142,41.43953,0.04982,312.05578,0.4142,18.41274,11.792517,0.013188185,99.02403,3015.8732,1.537,1,,,,2.6658547E-5,21.267755,244.32463,0.017312917,0
4626482.92,,5905,,15.5001,0.08,9.3E-6,15.640041,0.33739928,0.27141813,0.0004318,41.476183,0.04989,312.89431,0.4318,4.8217696,11.778377,0.012062862,99.105241,3014.6647,1.597,1,,,,2.6745802E-5,23.585034,244.61088,0.017354055,0
4626580.89,,5905,,15.4994,0.08,9.2E-6,15.641347,0.33777512,0.27094393,0.0004305,41.484092,0.0499,312.42802,0.4305,10.231886,11.781457,0.012289753,99.089882,3016.6743,1.596,1,,,,2.6701995E-5,23.556754,244.65173,0.017322289,0
4626876.58,,5905,,16.9393,0.08,9.2E-6,17.074565,0.33331943,0.34779923,0.0005764,50.468924,0.06261,398.26816,0.5764,33.84517,13.868035,0.014813134,99.029783,3030.0804,1.672,1,,,,2.8933228E-5,23.562915,291.54078,0.020369434,0
4626984.97,,5905,,16.94,0.08,9.2E-6,17.095716,0.3701932,0.34960726,0.0006003,50.599602,0.06276,400.20687,0.6003,10.012287,13.78644,0.013169457,99.131113,3028.5949,1.731,1,,,,2.9223377E-5,27.736071,292.26351,0.020449992,0
4627092.06,,5905,,16.9391,0.08,9.2E-6,17.097821,0.36911761,0.34964597,0.0006457,50.623483,0.06279,400.26946,0.6457,5.6545994,13.832584,0.013878417,99.087426,3028.8559,1.862,1,,,,2.9140268E-5,27.57288,292.33547,0.020449739,0
4627409.72,,5905,,18.5123,0.08,9.2E-6,18.68234,0.43263958,0.33043734,0.002414,61.888829,0.07894,392.32617,2.414,1730.1705,13.28615,0.029281804,98.329277,3372.4761,8.172,1,,,,2.9885675E-5,27.665168,349.02981,0.01768715,0
4627513.91,,5905,,18.5121,0.08,9.2E-6,18.680718,0.42601441,0.33117879,0.002421,61.881445,0.07892,393.06024,2.421,51.397282,13.217991,0.026516393,98.477767,3369.6648,8.17,1,,,,3.0063744E-5,26.572299,348.96921,0.017728376,0
4627618.14,,5905,,18.5122,0.08,9.2E-6,18.681537,0.42504566,0.33080005,0.002417,61.885507,0.07893,392.68556,2.417,105.12205,13.171484,0.026308756,98.485674,3371.0983,8.17,1,,,,3.0139281E-5,26.435982,348.99984,0.017707325,0
4627938.5,,5905,,20.23,0.08,9.2E-6,20.447218,0.49397405,0.28541018,0.0003698,75.184099,0.1066,360.59428,0.3698,63.754226,10.610778,0.013953438,99.201511,3875.775,1.673,1,,,,3.4155367E-5,26.342967,418.0887,0.013958387,0
4628026.86,,5905,,20.2299,0.08,9.2E-6,20.421777,0.44276437,0.28454737,0.0003335,75.029577,0.1063,359.57694,0.3335,18.021602,10.62088,0.016652829,99.048102,3874.8612,1.513,1,,,,3.4059736E-5,21.221555,417.04896,0.013933527,0
4628114.89,,5905,,20.23,0.08,9.2E-6,20.424147,0.44397911,0.28423011,0.0003452,75.048179,0.1063,359.27829,0.3452,8.6088436,10.598863,0.016084612,99.079486,3876.7524,1.568,1,,,,3.4095219E-5,21.241761,417.14579,0.013916376,0
4628421.77,,5905,,22.108,0.08,9.2E-6,22.302757,0.44947096,0.34071628,0.0005149,90.558676,0.1343,431.27496,0.5149,1.8868084,11.928802,0.019859015,98.993865,3985.122,2.005,1,,,,3.6383813E-5,21.197727,497.41298,0.015276868,0
4628518.2,,5905,,22.1077,0.08,9.2E-6,22.323168,0.48633774,0.34179738,0.0005056,90.708861,0.1346,432.50624,0.5056,4.863456,11.859217,0.017876345,99.088418,3984.5592,1.963,1,,,,3.6679906E-5,23.857605,498.32383,0.015311329,0
4628614.44,,5905,,22.1079,0.08,9.2E-6,22.322318,0.48417762,0.34203629,0.0004971,90.698969,0.1346,432.73526,0.4971,2.8876413,11.848641,0.017240042,99.119736,3983.4796,1.928,1,,,,3.6724861E-5,23.718434,498.2859,0.015322615,0
4628935,,5905,,24.1609,0.08,9.2E-6,24.365264,0.48175695,0.42169356,0.0006068,108.66398,0.1796,530.35754,0.6068,7.8435141,13.68974,0.020961467,99.057708,4054.957,1.943,1,,,,3.8974587E-5,23.697281,593.66607,0.017307162,0
4629041.14,,5905,,24.1609,0.08,9.2E-6,24.392407,0.52939731,0.42349723,0.000645,108.89944,0.1802,532.39667,0.645,8.3903464,13.675004,0.01966537,99.114048,4053.703,2.057,1,,,,3.915262E-5,27.37948,594.98952,0.017361847,0
4629148.5,,5905,,24.1613,0.08,9.2E-6,24.393411,0.5291486,0.42352227,0.0006442,108.90758,0.1802,532.42985,0.6442,2.4545562,13.658951,0.019470318,99.121831,4053.79,2.054,1,,,,3.9199118E-5,27.350008,595.03851,0.017362158,0
4629486.59,,5905,,26.4039,0.08,9.3E-6,26.628358,0.5210212,0.52813803,0.0007958,129.69806,0.2331,657.83609,0.7958,6.7483736,16.050223,0.024495385,99.033069,4111.2685,2.063,1,,,,4.1244436E-5,27.317901,709.06946,0.019833669,0
4629608.66,,5905,,26.4043,0.08,9.2E-6,26.661929,0.5792554,0.53039639,0.000835,129.98669,0.2338,660.38307,0.835,2.4206427,15.975599,0.02103732,99.164983,4110.601,2.155,1,,,,4.1561816E-5,32.100445,710.85847,0.019893399,0
4629730.45,,5905,,26.4039,0.08,9.2E-6,26.66244,0.57801986,0.53026351,0.0008447,129.991,0.2338,660.25451,0.8447,2.0785223,15.987403,0.021355558,99.153093,4111.0231,2.181,1,,,,4.1526251E-5,31.951198,710.88572,0.019888034,0
4630095.33,,5905,,28.8542,0.08,9.2E-6,29.095965,0.56670024,0.66608179,0.001026,154.60939,0.2911,820.69118,1.026,4.7748117,18.911766,0.027215158,99.055941,4157.8701,2.133,1,,,,4.3668627E-5,31.974805,846.57519,0.022892583,0
4630234.08,,5905,,28.855,0.08,9.3E-6,29.134175,0.63211513,0.66855785,0.001101,154.99229,0.292,823.55013,1.101,1.7723916,18.799399,0.023977795,99.162913,4158.1843,2.279,1,,,,4.4051276E-5,37.823533,848.80018,0.022947547,0
4630372.67,,5905,,28.8554,0.08,9.2E-6,29.13423,0.62973793,0.66860231,0.001073,154.98946,0.292,823.59178,1.073,1.2385144,18.78569,0.023485609,99.179499,4158.0999,2.223,1,,,,4.4080775E-5,37.598799,848.80337,0.02294903,0
4630762.7,,5905,,31.534,0.08,9.2E-6,31.79983,0.61168029,0.84230501,0.001291,184.64482,0.3546,1026.9498,1.291,2.6760943,22.310735,0.030520976,99.069331,4202.2556,12.05,1,,,,4.6320696E-5,37.57138,1011.2292,0.02648772,0
4630944.86,,5905,,31.5342,0.08,9.2E-6,31.841774,0.68459915,0.84751788,0.001355,185.08935,0.3555,1032.6072,1.355,19.646569,22.272371,0.02731782,99.163822,4199.1536,2.235,1,,,,4.6626379E-5,44.621471,1013.8986,0.026616541,0
4631104.61,,5905,,31.5344,0.08,9.3E-6,31.843535,0.68331822,0.84688038,0.001361,185.10415,0.3555,1031.9845,1.361,0.96654674,22.182513,0.026001876,99.201414,4200.4392,2.248,1,,,,4.6774945E-5,44.544743,1014.0107,0.026595049,0
4631527.34,,5905,,34.462,0.08,9.2E-6,34.751746,0.6606364,1.0622117,0.001577,220.00963,0.422,1282.2214,1.577,1.4228068,26.452452,0.035126291,99.062482,4250.6343,2.102,1,,,,4.8787927E-5,44.365025,1207.6838,0.030565708,0
4631739.05,,5905,,34.4604,0.08,9.2E-6,34.800448,0.74186573,1.0673753,0.001591,220.55008,0.4231,1287.9254,1.591,2.4788534,26.28069,0.030732016,99.173447,4249.7163,2.11,1,,,,4.928739E-5,52.904903,1211.0712,0.030671309,0
4631949.14,,5905,,34.4604,0.08,9.2E-6,34.800171,0.73811646,1.0671075,0.001566,220.55788,0.4231,1287.6653,1.566,4.7663396,26.24044,0.030118757,99.1889,4250.0379,2.077,1,,,,4.9347691E-5,52.56138,1211.0519,0.030663857,0
4632408.88,,5905,,37.6614,0.08,9.2E-6,37.978705,0.71852483,1.3268958,0.002079,261.30395,0.5102,1588.1997,2.079,0.78980389,31.175246,0.039942433,99.064413,4313.2905,2.25,1,,,,5.1280525E-5,52.48088,1442.382,0.03493789,0
4632622.47,,5905,,37.6616,0.08,9.2E-6,38.032575,0.80436297,1.3334484,0.002143,261.95218,0.5114,1595.4006,2.143,0.45988622,30.875873,0.033610873,99.204224,4312.3218,2.308,1,,,,5.1961301E-5,62.350492,1446.4768,0.035060693,0
4632865.45,,5905,,37.6603,0.08,9.2E-6,38.030066,0.7999365,1.3329275,0.001981,261.93164,0.5114,1594.8591,1.981,3.8651761,30.901448,0.034132928,99.192665,4312.5989,2.134,1,,,,5.1904889E-5,61.751746,1446.2859,0.035049307,0
4633365.25,,5905,,41.1568,0.08,9.2E-6,41.49913,0.78333362,1.645791,0.002602,309.85329,0.5788,1955.6443,2.602,0.38162159,36.611985,0.045242138,99.06959,4386.6019,2.31,1,,,,5.3771134E-5,61.802896,1722.1778,0.039658446,0
4633647.34,,5905,,41.1565,0.08,9.2E-6,41.556923,0.87655751,1.6520941,0.002259,310.5992,0.5796,1962.6933,2.259,6.8754579,36.162041,0.038388175,99.200388,4387.1173,1.998,1,,,,5.4585267E-5,73.22397,1726.9779,0.039754966,0
4633926.78,,5905,,41.1577,0.08,9.2E-6,41.555352,0.87028138,1.6528771,0.002238,310.58777,0.5796,1963.4649,2.238,3.1476704,36.229057,0.038659744,99.195923,4386.2585,1.978,1,,,,5.4507514E-5,72.324083,1726.8472,0.039775314,0
4634470.75,,5905,,44.9783,0.08,9.2E-6,45.368206,0.86683415,1.9999836,0.003347,364.99462,0.6295,2364.9782,3.347,0.22635297,42.753426,0.052158001,99.061426,4493.9017,2.504,1,,,,5.5691973E-5,72.458113,2058.2741,0.044083374,0
4634797.88,,5905,,44.9778,0.08,9.2E-6,45.433622,0.96837577,2.00881,0.002542,365.86295,0.6303,2374.6729,2.542,2.7646241,42.118149,0.043422587,99.20622,4493.7804,1.894,1,,,,5.6704386E-5,85.506851,2064.214,0.044214172,0
4635120.7,,5905,,44.9783,0.08,9.2E-6,45.430951,0.95918342,2.0081964,0.002592,365.82408,0.6303,2374.0205,2.592,0.98176266,42.032583,0.042814674,99.215882,4493.9738,1.932,1,,,,5.6800213E-5,84.236298,2063.9713,0.044203266,0
4635756.83,,5905,,49.1541,0.08,9.2E-6,49.570328,0.9548565,2.4019628,0.003592,431.32951,0.7089,2833.2923,3.592,0.33851341,49.02199,0.058200704,99.076319,4619.3463,2.3,1,,,,5.8184077E-5,84.065167,2457.2174,0.048455657,0
4636126.48,,5905,,49.1544,0.08,9.2E-6,49.636414,1.0626103,2.4113787,0.003067,432.36566,0.7103,2843.7444,3.067,1.6338612,48.48659,0.049915246,99.198658,4619.4763,1.957,1,,,,5.8991142E-5,98.043981,2463.7736,0.04858084,0
4636493.06,,5905,,49.154,0.08,9.2E-6,49.636472,1.0556134,2.4104585,0.003086,432.37298,0.7103,2842.8315,3.086,1.4134368,48.475661,0.049778778,99.2009,4620.0694,1.97,1,,,,5.8984496E-5,96.973179,2463.7794,0.048562245,0
4637194.8,,5905,,53.7171,0.08,9.2E-6,54.182239,1.0397304,2.8936109,0.00444,516.27664,0.8084,3409.8876,4.44,0.26869767,55.956452,0.066371026,99.072997,4745.2339,2.424,1,,,,6.1349325E-5,96.951323,2935.715,0.053405156,0
4637612.69,,5905,,53.7176,0.08,9.2E-6,54.25374,1.1506379,2.9042192,0.003657,517.58539,0.8095,3421.8046,3.657,1.4282843,55.292254,0.056666771,99.19885,4745.7036,1.99,1,,,,6.2246194E-5,111.9129,2943.4683,0.053530304,0
4638026.64,,5905,,53.7175,0.08,9.3E-6,54.252438,1.1424824,2.9051297,0.003687,517.568,0.8094,3422.6977,3.687,1.4855622,55.35585,0.057941628,99.181505,4745.0939,2.006,1,,,,6.2198817E-5,110.58451,2943.327,0.053548372,0
4638794.31,,5905,,58.7052,0.08,9.2E-6,59.208094,1.1327315,3.4300579,0.005335,617.47905,0.8664,4047.537,5.335,0.15495286,63.206904,0.076358368,99.061679,4899.6074,2.538,1,,,,6.4472447E-5,110.7117,3505.5984,0.057932247,0
4639266.58,,5905,,58.7038,0.08,9.3E-6,59.282352,1.2472344,3.4423781,0.003916,618.88761,0.8669,4061.2658,3.916,1.3897599,62.442214,0.066184249,99.176413,4899.893,1.857,1,,,,6.5428843E-5,126.41381,3514.3973,0.058067502,0
4639730.81,,5905,,58.7046,0.08,9.2E-6,59.280261,1.238437,3.4409523,0.003964,618.84471,0.8669,4059.797,3.964,0.85565106,62.373587,0.065886998,99.179419,4900.3968,1.88,1,,,,6.547567E-5,124.88443,3514.1493,0.058045499,0
