[Header]
TITLE,SmOHCO3 Puck 225 01-29-26.dat
BYAPP,HeatCapacity,3.9.11,1.7
INFO,1000,MASS:Sample Mass (mg)
INFO,,MASSERR:Sample Mass Error (mg)
INFO,1,MOLWGHT:Formula Weight (g/mole)
INFO,1,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.11 Build 2,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (mJ/mole-K),Samp HC Err (mJ/mole-K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (mJ/mole-K/K),Addenda Offset HC (µJ/K)
12910912.08,,5905,,2.1401,-0.08,9.2E-6,2.1516086,0.046971609,0.0050341264,4.815E-5,0.27706433,0.002251,5.3111908,0.04815,1.3278084,2.7165001,0.0076409921,94.020817,1566.7602,4.964,1,,,,2.0671955E-6,5.4430925,4.6294196,0.0023397036,0
12911056.89,,5905,,2.2369,-0.08,9.2E-6,2.2440773,0.049663684,0.0048596835,3.871E-5,0.30507422,0.002648,5.1647577,0.03871,0.71653318,2.2907289,0.0056973311,95.355995,1653.4171,4.367,1,,,,2.3521038E-6,5.4330003,5.035883,0.0021655597,0
12911094,,5905,,2.2335,-0.08,9.2E-6,2.2411717,0.046943904,0.0046970432,4.284E-5,0.3045731,0.002637,5.0016163,0.04284,1.2668958,2.3963862,0.007451478,94.309879,1670.1203,5.047,1,,,,2.1985715E-6,4.5814578,5.0228506,0.002095798,0
12911132.83,,5905,,2.2339,-0.08,9.2E-6,2.2419537,0.047893585,0.004806289,3.976E-5,0.30453742,0.002637,5.1108264,0.03976,1.3396741,2.481205,0.0080404539,93.927046,1657.9469,4.547,1,,,,2.1780022E-6,4.7927725,5.0263562,0.002143795,0
12911272.61,,5905,,2.3334,-0.08,9.2E-6,2.3397952,0.05133945,0.0047131445,4.138E-5,0.33391047,0.002931,5.047055,0.04138,1.0941984,2.1591906,0.0064713705,94.955509,1741.6267,5.068,1,,,,2.4461065E-6,4.96241,5.4746417,0.0020143406,0
12911309.81,,5905,,2.3349,-0.08,9.2E-6,2.3380075,0.048347193,0.0045886045,4.068E-5,0.33364215,0.002932,4.9222466,0.04068,0.74662569,2.110507,0.0065903732,94.858725,1755.9002,5.159,1,,,,2.4424695E-6,4.3183812,5.4662789,0.0019626133,0
12911345.72,,5905,,2.3341,-0.08,9.2E-6,2.3376207,0.048434579,0.0044688575,3.653E-5,0.33345368,0.002933,4.8023112,0.03653,1.7489723,2.0240906,0.0057529876,95.446382,1771.1528,4.8,1,,,,2.4708871E-6,4.2210139,5.4644704,0.001911712,0
12911484.42,,5905,,2.4372,-0.08,9.2E-6,2.4370807,0.052492958,0.0042688439,2.743E-5,0.35685973,0.002827,4.6257036,0.02743,0.4316018,1.913527,0.0058658168,95.552076,1874.9106,3.998,1,,,,2.5135121E-6,4.0481813,5.9393621,0.0017516219,0
12911519.95,,5905,,2.4377,-0.08,9.2E-6,2.4358889,0.050443886,0.0043882312,3.084E-5,0.35665267,0.002826,4.7448839,0.03084,0.84254629,1.9839365,0.0061674176,95.372503,1856.8428,4.329,1,,,,2.4912277E-6,3.8270541,5.9335548,0.0018014907,0
12911556.3,,5905,,2.4368,-0.08,9.2E-6,2.4365505,0.051771383,0.0043664036,3.07E-5,0.3567808,0.002827,4.7231844,0.0307,1.6577516,1.9750101,0.0056093687,95.805514,1860.4369,4.34,1,,,,2.4812193E-6,3.967873,5.9367784,0.0017920431,0
