[Header]
TITLE,Tm2O3 HP B-Type Puck 225 7-11-2026.dat
BYAPP,HeatCapacity,3.9.11,1.7
INFO,1000,MASS:Sample Mass (mg)
INFO,,MASSERR:Sample Mass Error (mg)
INFO,1,MOLWGHT:Formula Weight (g/mole)
INFO,1,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.11 Build 2,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (mJ/mole-K),Samp HC Err (mJ/mole-K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (mJ/mole-K/K),Addenda Offset HC (µJ/K)
3916046.48,,5905,,2.2342,0.043,9.2E-6,2.2464277,0.043565568,0.081145987,0.0008842,0.27085448,0.002471,81.416841,0.8842,11.512366,34.426747,0.0050660241,95.34819,647.56611,2.335,1,,,,2.4795604E-6,69.028033,5.0464376,0.036122233,0
3916312.94,,5905,,2.2332,0.043,9.2E-6,2.2480559,0.0444385,0.080631083,0.0008135,0.27129633,0.002466,80.902379,0.8135,14.342595,33.542407,0.0049199665,95.402486,649.41197,2.169,1,,,,2.5274159E-6,68.853493,5.0537554,0.035867027,0
3916571.22,,5905,,2.2346,0.043,9.3E-6,2.2479711,0.043976141,0.080092109,0.0008189,0.27129104,0.002466,80.3634,0.8189,13.088419,33.295579,0.0049169815,95.401846,650.8409,2.203,1,,,,2.5292014E-6,67.084815,5.0533742,0.03562862,0
3916932.86,,5905,,2.3354,0.043,9.2E-6,2.3452449,0.045346967,0.082276636,0.0008612,0.29499477,0.002279,82.57163,0.8612,11.809732,32.934657,0.0051683851,95.381189,672.94053,2.332,1,,,,2.6276963E-6,66.591157,5.5001734,0.035082322,0
3917189.98,,5905,,2.3339,0.043,9.2E-6,2.3466649,0.045812634,0.08218908,0.0008139,0.29528715,0.002278,82.484367,0.8139,11.808266,32.054812,0.0048605692,95.554105,673.58703,2.209,1,,,,2.6921179E-6,65.869315,5.5068363,0.035023782,0
3917438.98,,5905,,2.3341,0.043,9.2E-6,2.3464797,0.045315117,0.0814006,0.0008229,0.29526513,0.002278,81.695865,0.8229,10.816719,31.785184,0.0050232806,95.402945,675.70159,2.262,1,,,,2.6932258E-6,64.109625,5.505967,0.03469052,0
3917795.31,,5905,,2.4349,0.043,9.2E-6,2.4468809,0.047562879,0.082261307,0.0008532,0.31307542,0.002386,82.574382,0.8532,13.036976,31.391442,0.0050427469,95.551877,702.14741,2.411,1,,,,2.7520216E-6,63.570369,5.9872262,0.033618844,0
3918041.19,,5905,,2.4357,0.043,9.3E-6,2.448239,0.048116781,0.081887558,0.0008179,0.31329233,0.00239,82.200851,0.8179,13.093181,30.780975,0.0050193851,95.506011,703.60434,2.327,1,,,,2.7952331E-6,62.782884,5.9938742,0.033447534,0
3918282.84,,5905,,2.4362,0.043,9.2E-6,2.4481602,0.047449059,0.082078735,0.000806,0.31327528,0.00239,82.392011,0.806,5.5700577,30.570926,0.0048126833,95.657991,703.035,2.286,1,,,,2.8165352E-6,61.56195,5.9934883,0.033526701,0
3918632.25,,5905,,2.546,0.043,9.2E-6,2.5525031,0.051050825,0.080837499,0.0007609,0.33216668,0.00246,81.169665,0.7609,4.6731172,30.238407,0.0052049807,95.584447,736.73167,2.297,1,,,,2.807336E-6,61.141853,6.5152723,0.031669892,0
