[Header]
TITLE,Eu2O3 LP_GA Puck 225 08-01-26.dat
BYAPP,HeatCapacity,3.9.11,1.7
INFO,1000,MASS:Sample Mass (mg)
INFO,,MASSERR:Sample Mass Error (mg)
INFO,1,MOLWGHT:Formula Weight (g/mole)
INFO,1,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.11 Build 2,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (mJ/mole-K),Samp HC Err (mJ/mole-K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (mJ/mole-K/K),Addenda Offset HC (µJ/K)
5750814.16,,5905,,6.5895,0.033,9.2E-6,6.6228825,0.13411398,0.0077438285,2.42E-5,4.8306162,0.009285,12.574445,0.0242,0.67061954,1.3342283,0.0027524057,99.12984,4177.7493,4.342,1,,,,9.4559481E-6,2.5941789,43.862573,0.0011692535,0
5750845.92,,5905,,6.5982,0.033,9.2E-6,6.6221284,0.13627354,0.0079878147,3.578E-5,4.8215276,0.009239,12.809342,0.03578,0.079069611,1.3777503,0.0040123253,98.762648,4134.3019,6.154,1,,,,9.3427177E-6,2.6684565,43.852585,0.0012062307,0
5750904.2,,5905,,6.5898,0.033,9.2E-6,6.6226004,0.13503447,0.0076411941,3.059E-5,4.8224101,0.009243,12.463604,0.02916,1.0618881,1.2672111,,,4196.1922,5.585,1,,,,9.8354599E-6,2.7555006,43.858836,0.0011538057,0
5751062.42,,5905,,6.8793,0.033,9.2E-6,6.9144051,0.13268444,0.0085947092,2.428E-5,5.4398054,0.01166,14.034515,0.02428,0.3349592,1.3932293,0.0024530958,99.259585,4212.6791,3.959,1,,,,1.01016E-5,2.5344222,47.808998,0.001243015,0
5751096.16,,5905,,6.8835,0.033,9.2E-6,6.9181182,0.14076422,0.0088380306,2.882E-5,5.4392918,0.01166,14.277322,0.02882,0.28390998,1.4303198,0.003258456,99.036151,4175.9002,4.529,1,,,,1.001922E-5,2.7864586,47.860359,0.0012775195,0
5751143.09,,5905,,6.8859,0.033,9.2E-6,6.9215646,0.14118439,0.0083852862,5.379E-5,5.4479925,0.01165,13.833279,0.05251,0.31793603,1.3419673,,,4251.8597,9.052,1,,,,1.0308208E-5,2.8606396,47.908057,0.0012114726,0
5751300.34,,5905,,7.1848,0.033,9.2E-6,7.2226359,0.13924779,0.0098520613,2.743E-5,6.1295307,0.01169,15.981592,0.02743,1.0946588,1.5149758,0.0033664417,99.062254,4204.6906,3.895,1,,,,1.0587109E-5,2.6839347,52.166469,0.0013640534,0
5751334.5,,5905,,7.1847,0.033,9.2E-6,7.2273184,0.14918125,0.0098368061,4.266E-5,6.1440641,0.01175,15.98087,0.04266,0.16636785,1.5368513,0.0048766011,98.663424,4209.5904,6.067,1,,,,1.0451992E-5,3.0299516,52.234131,0.0013610589,0
5751370.59,,5905,,7.1889,0.033,9.2E-6,7.226717,0.1518507,0.0095889092,3.193E-5,6.1415146,0.01173,15.730424,0.03193,0.82214147,1.4934937,0.0025504019,99.283776,4245.2048,4.701,1,,,,1.0560917E-5,3.0737027,52.225438,0.0013268693,0
5751525.92,,5905,,7.5068,0.033,9.2E-6,7.5441244,0.14829258,0.011144632,2.508E-5,6.8991616,0.01348,18.043794,0.02508,1.5764568,1.616481,0.0026604829,99.304217,4215.0402,3.157,1,,,,1.1192277E-5,2.9869873,56.913813,0.0014772599,0
